Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
Advances in Science and Research;Naturwissenschaft allgemein;Allgemeine Naturwissenschaften;Science in general;General Natural Sciences
Biogeosciences;Biologie | Geowissenschaften;Geobiologie;Biology | Earth Sciences;geobiology
Biogeosciences Discussions;Biologie | Geowissenschaften;Geobiologie;Biology | Earth Sciences;geobiology
Climate of the Past;Geowissenschaften;Paläoklimatologie;earth sciences;paleoclimatology
Climate of the Past Discussions;Geowissenschaften;Paläoklimatologie;earth sciences;paleoclimatology
Drinking Water Engineering and Science;Energie, Umweltschutz, Kerntechnik;Gewässerschutz;Energy, environmental protection, nuclear technology;water conservation
Drinking Water Engineering and Science Discussions;Energie, Umweltschutz, Kerntechnik;Gewässerschutz;Energy, environmental protection, nuclear technology;water conservation
Earth System Dynamics;Geowissenschaften;Geodynamik;earth sciences;geodynamics
Earth System Dynamics Discussions;Geowissenschaften;Geodynamik;earth sciences;geodynamics
Earth System Science Data;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Earth System Science Data Discussions;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Earth Surface Dynamics;Geowissenschaften;Geodynamik;earth sciences;geodynamics
Fossil Record;Geowissenschaften;Paläontologie;earth sciences;paleontology
Geographica Helvetica;Ethnologie (Volks- und Völkerkunde) | Geographie;Regionalgeographie | Schweiz;Ethnology (Folk and Ethnology) | Geography;Regional Geography | Switzerland
Geoscientific Instrumentation, Methods and Data Systems;Geowissenschaften;Geowissenschaften | Atmosphärische Prozesse und Klima | Ozeanforschung;earth sciences;Earth Sciences | Atmospheric Processes and Climate | Oceanography
Geoscientific Instrumentation, Methods and Data Systems Discussions;Geowissenschaften;Geowissenschaften | Atmosphärische Prozesse und Klima | Ozeanforschung;earth sciences;Earth Sciences | Atmospheric Processes and Climate | Oceanography
Geoscientific Model Development;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Geoscientific Model Development Discussions;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Geothermal Energy Science;Energie, Umweltschutz, Kerntechnik | Geowissenschaften;Geothermie;Energy, Environmental Protection, Nuclear | Geosciences;geothermal energy
Hydrology and Earth System Sciences;Geographie | Geowissenschaften;Geophysik | Hydrologie;Geography | Earth Sciences;Geophysics | Hydrology
Hydrology and Earth System Sciences Discussions;Geographie | Geowissenschaften;Geophysik | Hydrologie;Geography | Earth Sciences;Geophysics | Hydrology
History of Geo- and Space Sciences;Geowissenschaften;Geschichte der Geowissenschaften;earth sciences;History of Earth Sciences
3D Printing in Medicine;Informatik | Medizin;Medizinische Informatik;Computer Science | Medicine;Medical Informatics
Advanced Modeling and Simulation in Engineering Sciences;Informatik | Technik allgemein;Informatik in den Ingenieurwissenschaften;Computer Science | General Engineering;Computer Science in Engineering Sciences
Advanced Structural and Chemical Imaging;Biologie | Informatik;Bioinformatik;Biology | Computer Science;bioinformatics
Advances in Difference Equations;Mathematik;Analysis;mathematics;analysis
Agricultural and Food Economics;Land- und Forstwirtschaft u.a.;Agrarökonomie;Agriculture and forestry etc.;agricultural economics
AMB Express;Biologie;Mikrobiologie;biology;microbiology
Annals of Intensive Care;Medizin;Intensiv- und Notfallmedizin;medicine;Intensive care and emergency medicine
Applied Adhesion Science;Verfahrenstechnik, Biotechnologie;Chemische Verfahrenstechnik;Process Engineering, Biotechnology;Chemical Process Engineering
Applied Informatics;Informatik;;computer science;
Applied Nanoscience;Physik;Nanotechnologie;physics;nanotechnology
Applied Network Science;Informatik;Theoretische Informatik;computer science;Theoretical Computer Science
Applied Petrochemical Research;Chemie und Pharmazie;Petrochemie;Chemicals and pharmaceuticals;petrochemistry
Applied Water Science;Energie, Umweltschutz, Kerntechnik;Hydrologie;Energy, environmental protection, nuclear technology;hydrology
AAPS Open;Medizin;Medizin | Gesundheit;medicine;Medicine | Health
Arabian Journal of Mathematics;Mathematik;Allgemeine Mathematik;mathematics;General Mathematics
Asia-Pacific Science Education;Naturwissenschaft allgemein;Fachdidaktik der Naturwissenschaften;Science in general;didactics of the natural sciences
Asian Journal of Gambling Issues and Public Health;Medizin;Suchtforschung |Öffentliches Gesundheitswesen;medicine;Addiction research |Public health care
Asian Journal of German and European Studies;Politologie | Wirtschaftswissenschaften;Länderbericht Asien | Länderbericht Europa;Political Science | Economics;Country Report Asia | Country Report Europe
Asian Journal of Sustainability and Social Responsibility;;;;
Asian-Pacific Journal of Second and Foreign Language Education;Allgemeine Sprach- und Literaturwissenschaft;Fremdsprachenunterricht;General Linguistics and Literature;language teaching
Autoimmunity Highlights;Medizin;Immunologie;medicine;immunology
Bandung: Journal of the Global South;Politologie | Soziologie;Globalisierung;Political Science | Sociology;globalization
Biophysics Reports;Biologie | Physik;Biophysik;Biology | Physics;biophysics
Bioresources and Bioprocessing;Verfahrenstechnik, Biotechnologie;Biotechnologie;Process Engineering, Biotechnology;biotechnology
Botanical Studies;Biologie;Allgemeine Botanik;biology;General Botany
Boundary Value Problems;Mathematik;Analysis;mathematics;analysis
Brain Informatics;Informatik;Künstliche Intelligenz;computer science;Artificial Intelligence
Brazilian Journal of Science and Technology;Technik allgemein;Allgemeine Technik | Allgemeine Naturwissenschaften;General technology;General Technology | General Science
Bulletin of Mathematical Sciences;Mathematik;Allgemeine mathematische Zeitschriften;mathematics;General mathematical journals
Business Research;Wirtschaftswissenschaften;Fachdidaktik Wirtschaftslehre;economic sciences;didactics economics
Cancer Nanotechnology;Medizin;Nanotechnologie | Onkologie;medicine;Nanotechnology | Oncology
Carbon Balance and Management;Geowissenschaften;Klimaänderung;earth sciences;climate change
Chemical and Biological Technologies in Agriculture;Land- und Forstwirtschaft u.a. | Verfahrenstechnik, Biotechnologie;Phytopathologie;Agriculture and forestry, e. g. | Process engineering, biotechnology;phytopathology
Chemistry Central Journal;Chemie und Pharmazie;Allgemeine chemische Zeitschriften;Chemicals and pharmaceuticals;General chemical journals
China Finance and Economic Review;Wirtschaftswissenschaften;Wirtschaftsbericht China | Finanzwirtschaft;economic sciences;Economical Report China | Finance
City, Territory and Architecture;Architektur, Bauingenieur- und Vermessungswesen;Städtebau;Architecture, civil engineering and surveying;urban development
Clinical and Translational Medicine;Medizin;Klinische Medizin;medicine;Clinical Medicine
Clinical Phytoscience;Land- und Forstwirtschaft u.a. | Medizin;Phytomedizin;Agriculture and forestry etc. | Medicine;phytomedicine
Cognitive Research: Principles and Implications;Psychologie;Kognitive Psychologie;psychology;Cognitive Psychology
Comparative Migration Studies;Soziologie;Migration;sociology;migration
Complex Adaptive Systems Modeling;Biologie;Theoretische Biologie;biology;Theoretical Biology
Complex Analysis and its Synergies;Mathematik;Analysis;mathematics;analysis
Complex & Intelligent Systems;Informatik;Allgemeine Informatik;computer science;General Information Technology
Computational Astrophysics and Cosmology;Physik;Astrophysik;physics;astrophysics
Computational Social Networks;Informatik;Soziale Netzwerke;computer science;Social networks
Computational Visual Media;Informatik;Bildverarbeitung;computer science;image processing
Crime Science;Rechtswissenschaft;Kriminologie;jurisprudence;criminology
Critical Ultrasound Journal;Medizin;Radiologie;medicine;radiology
Data Science and Engineering;Informatik;Softwareentwicklung;computer science;software development
Decision Analytics;Wirtschaftswissenschaften;Unternehmensführung;economic sciences;corporate governance
Earth Perspectives;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Earth, Planets and Space;Geowissenschaften | Physik;Astronomie | Planetologie | Geophysik;Earth Sciences | Physics;Astronomy | Planetology | Geophysics
Earthquake Science;Geowissenschaften;Geophysik;earth sciences;geophysics
Ecological Processes;Energie, Umweltschutz, Kerntechnik;Ökologie;Energy, environmental protection, nuclear technology;science
EJNMMI Physics;Medizin | Physik;Biophysik;Medicine | Physics;biophysics
EJNMMI Radiopharmacy and Chemistry;Chemie und Pharmazie;;Chemicals and pharmaceuticals;
EJNMMI Research;Medizin;Radiologie;medicine;radiology
Empirical Research in Vocational Education and Training;Pädagogik;Berufsbildung;pedagogy;vocational training
Energy, Sustainability and Society;Energie, Umweltschutz, Kerntechnik;Nachhaltigkeit;Energy, environmental protection, nuclear technology;sustainability
Environmental Sciences Europe;Chemie und Pharmazie | Energie, Umweltschutz, Kerntechnik;Toxikologie | Umweltmedizin | Umweltchemie;Chemicals and pharmaceuticals | Energy, environmental protection, nuclear technology;Toxicology | Environmental Medicine | Environmental Chemistry
Environmental Systems Research;Energie, Umweltschutz, Kerntechnik;Umweltschutz;Energy, environmental protection, nuclear technology;environmental protection
EPJ Data Science;Informatik;Datenanalyse | Big Data;computer science;Data Analysis | Big Data
EPJ Nonlinear Biomedical Physics;Medizin;Biomedizin;medicine;biomedicine
EPJ Quantum Technology;Physik;Quantenphysik;physics;quantum physics
EPJ Techniques and Instrumentation;Physik;Allgemeine Physik;physics;General Physics
EURASIP Journal on Advances in Signal Processing;Elektrotechnik, Mess- und Regelungstechnik;Signalverarbeitung;Electrical engineering, measurement and control technology;signal processing
EURASIP Journal on Audio, Speech, and Music Processing;Elektrotechnik, Mess- und Regelungstechnik;Signalverarbeitung | Elektroakustik;Electrical engineering, measurement and control technology;Signal Processing | Electroacoustics
EURASIP Journal on Bioinformatics and Systems Biology;Biologie | Informatik;Bioinformatik;Biology | Computer Science;bioinformatics
EURASIP Journal on Embedded Systems;Elektrotechnik, Mess- und Regelungstechnik | Informatik;Regelungstechnik;Electrical engineering, measurement and control engineering | Computer science;control engineering
EURASIP Journal on Image and Video Processing;Elektrotechnik, Mess- und Regelungstechnik;Bildverarbeitung;Electrical engineering, measurement and control technology;image processing
EURASIP Journal on Wireless Communications and Networking;Elektrotechnik, Mess- und Regelungstechnik | Informatik;Kommunikationstechnik | Netzwerke;Electrical engineering, measurement and control engineering | Computer science;Communication Technology | Networks
European Journal of Futures Research;Soziologie;Zukunftsforschung;sociology;futurology
European Radiology Experimental;Medizin;Radiologie;medicine;radiology
European Transport Research Review;Architektur, Bauingenieur- und Vermessungswesen;Verkehrswesen;Architecture, civil engineering and surveying;transport
Evolution: Education and Outreach;Biologie;Evolution;biology;evolution
Fashion and Textiles;Kunstgeschichte | Maschinenwesen, Werkstoffwissenschaften;Textilforschung | Mode;Art History | Mechanical Engineering, Materials Science;Textile Research | Fashion
Financial Innovation;Wirtschaftswissenschaften;Ökonomie;economic sciences;conome
Fire Science Reviews;Technik allgemein;Katastrophenschutz;General technology;disaster control
Fixed Point Theory and Applications;Mathematik;Theoretische Mathematik;mathematics;Theoretical Mathematics
Forest Ecosystems;Land- und Forstwirtschaft u.a.;Forstökologie;Agriculture and forestry etc.;forest ecology
Friction;Maschinenwesen, Werkstoffwissenschaften;Tribologie;Mechanical Engineering, Materials Science;tribology
Functional Linguistics;Allgemeine Sprach- und Literaturwissenschaft;Allgemeine Linguistik;General Linguistics and Literature;General Linguistics
Geochemical Transactions;Chemie und Pharmazie | Geowissenschaften;Geochemie | Hydrogeologie;Chemistry and Pharmacy | Geosciences;Geochemistry | Hydrogeology
Geoenvironmental Disasters;Geowissenschaften;Naturkatastrophen | Geodynamik;earth sciences;Natural disasters | Geodynamics
Geoscience Letters;Geowissenschaften;Allgemeine Geowissenschaften;earth sciences;General Earth Sciences
Geothermal Energy;Energie, Umweltschutz, Kerntechnik | Geowissenschaften;Geothermie;Energy, Environmental Protection, Nuclear | Geosciences;geothermal energy
Gynecological Surgery;Medizin;Gynäkologie und Geburtshilfe;medicine;Gynaecology and obstetrics
Health and Justice;Medizin | Rechtswissenschaft | Soziologie;Rechtsmedizin | Soziologie;Medicine | Law | Sociology;Forensic Medicine | Sociology
Health Economics Review;Medizin | Wirtschaftswissenschaften;Gesundheitsökonomie;Medicine | Economics;health economics
Heritage Science;Architektur, Bauingenieur- und Vermessungswesen | Kunstgeschichte;Denkmalschutz;Architecture, Civil Engineering and Surveying | Art History;preservation order
Human-centric Computing and Information Sciences;Informatik;Allgemeine Informatik;computer science;General Information Technology
Injury Epidemiology;Medizin;Epidemiologie;medicine;epidemiology
Insights into Imaging;Medizin;Radiologie;medicine;radiology
Intensive Care Medicine Experimental;Medizin;Intensiv- und Notfallmedizin;medicine;Intensive care and emergency medicine
International Aquatic Research;Biologie | Energie, Umweltschutz, Kerntechnik;Hydrobiologie | Meeresbiologie;Biology | Energy, Environmental Protection, Nuclear Technology;Hydrobiology | Marine Biology
International Journal of Advanced Structural Engineering (IJASE);Architektur, Bauingenieur- und Vermessungswesen;Baukonstruktion;Architecture, civil engineering and surveying;building construction
International Journal of Bipolar Disorders;Medizin;Psychiatrie;medicine;psychiatry
International Journal of Child Care and Education Policy;Pädagogik;Kindererziehung | Bildungswesen Ostasien;pedagogy;Child Education | Education East Asia
International Journal of Coal Science & Technology;Geowissenschaften;Lagerstättenkunde | Bergbau;earth sciences;Deposits | Mining
International Journal of Concrete Structures and Materials;Architektur, Bauingenieur- und Vermessungswesen;Baustoffkunde;Architecture, civil engineering and surveying;building material science
International Journal of Dharma Studies;Theologie und Religionswissenschaft;Asiatische Religionen;Theology and Religious Studies;Asian religions
International Journal of Disaster Risk Science;Energie, Umweltschutz, Kerntechnik | Geowissenschaften;Klimawandel | Geodynamik | Naturkatastrophen;Energy, Environmental Protection, Nuclear | Geosciences;Climate change | Geodynamics | Natural disasters
International Journal of Educational Technology in Higher Education;Pädagogik;Höheres Bildungswesen;pedagogy;higher education
International Journal of Emergency Medicine;Medizin;Intensiv- und Notfallmedizin;medicine;Intensive care and emergency medicine
International Journal of Energy and Environmental Engineering;Energie, Umweltschutz, Kerntechnik;Energiewesen | Umweltschutz;Energy, environmental protection, nuclear technology;Energy | Environmental protection
International Journal of Food Contamination;Land- und Forstwirtschaft u.a.;Ernährungswissenschaften;Agriculture and forestry etc.;nutritional sciences
International Journal of Geo-Engineering;Geowissenschaften;Ingenieurgeologie | Geomechanik;earth sciences;Engineering geology | Geomechanics
International Journal of Implant Dentistry;Medizin;Zahnmedizin;medicine;dentistry
International Journal of Industrial Chemistry;Chemie und Pharmazie;Technische Chemie;Chemicals and pharmaceuticals;Technical Chemistry
International Journal of Mechanical and Materials Engineering;Maschinenwesen, Werkstoffwissenschaften;Mechanik | Werkstoffkunde;Mechanical Engineering, Materials Science;Mechanics | Materials science
International Journal of Recycling of Organic Waste in Agriculture;Land- und Forstwirtschaft u.a.;Bodenkunde;Agriculture and forestry etc.;pedology
International Journal of STEM Education;Naturwissenschaft allgemein ;Didaktik der Naturwissenschaften;Science in general ;Didactics of the natural sciences
International Nano Letters;Maschinenwesen, Werkstoffwissenschaften;Materialwissenschaften | Nanotechnologie;Mechanical Engineering, Materials Science;Materials Sciences | Nanotechnology
IZA Journal of European Labor Studies;Wirtschaftswissenschaften;Arbeitsmarktforschung | Arbeitsmarktpolitik | Arbeitsökonomie;economic sciences;Labour market research | Labour market policy | Labour economics
IZA Journal of Labor & Development;Wirtschaftswissenschaften;Arbeitsmarktforschung | Arbeitsmarktpolitik | Arbeitsökonomie;economic sciences;Labour market research | Labour market policy | Labour economics
IZA Journal of Labor Economics;Wirtschaftswissenschaften;Arbeitsökonomie;economic sciences;labour economics
IZA Journal of Labor Policy;Politologie | Soziologie | Wirtschaftswissenschaften;Arbeitsmarktpolitik | Sozialpolitik;Political Science | Sociology | Economics;Labour market policy | Social policy
JA Clinical Reports;Medizin;Klinische Medizin;medicine;Clinical Medicine
Journal of Advanced Ceramics;Allgemeines, Fachübergreifendes | Chemie und Pharmazie | Physik;Keramik;General, interdisciplinary | Chemistry and Pharmacy | Physics;pottery
Journal of Analytical Science and Technology;Chemie und Pharmazie | Naturwissenschaft allgemein | Technik allgemein;Analytische Chemie;Chemistry and Pharmacy | Science in general | Technology in general;Analytical Chemistry
Journal of Applied Volcanology;Geowissenschaften;Vulkanologie;earth sciences;volcanology
Journal of Big Data;Informatik;;computer science;
Journal of Cheminformatics;Chemie und Pharmazie | Informatik;Chemische Informatik;Chemistry and Pharmacy | Computer Science;Chemical Informatics
Journal of Cloud Computing: Advances, Systems and Applications;Informatik;Datenmanagement;computer science;data management
Journal of Economic Structures;Wirtschaftswissenschaften;Allgemeine Volkswirtschaftslehre;economic sciences;General economics
Journal of Experimental Orthopaedics;Medizin;Orthopädie;medicine;orthopedics
Journal of Global Entrepreneurship Research;Wirtschaftswissenschaften;Gründungsforschung | Globalisierung;economic sciences;Foundation Research | Globalisation
Journal of Industrial Engineering International;Wirtschaftswissenschaften;Industriebetriebslehre;economic sciences;industrial management
Journal of Inequalities and Applications;Mathematik;Analysis;mathematics;analysis
Journal of Innovation and Entrepreneurship;Wirtschaftswissenschaften;Unternehmensführung;economic sciences;corporate governance
Journal of Internet Services and Applications;Informatik;Internet;computer science;internet
Journal of Mathematics in Industry;Mathematik;Mathematik in den Ingenieurwissenschaften;mathematics;Mathematics in engineering sciences
Journal of Modern Transportation;Architektur, Bauingenieur- und Vermessungswesen;Verkehrswesen;Architecture, civil engineering and surveying;transport
Journal of Open Innovation: Technology, Market, and Complexity;Wirtschaftswissenschaften;Unternehmensführung;economic sciences;corporate governance
Journal of Ophthalmic Inflammation and Infection;Medizin;Augenheilkunde;medicine;ophthalmology
Journal of Orthopaedics and Traumatology;Medizin;Orthopädie | Traumatologie;medicine;Orthopaedics | Traumatology
Journal of Petroleum Exploration and Production Technology;Geowissenschaften;Lagerstättenkunde;earth sciences;deposit science
Journal of Software Engineering Research and Development;Informatik;;computer science;
Journal of Statistical Distributions and Applications;Mathematik;Mathematische Statistik;mathematics;Mathematical Statistics
Journal of the Brazilian Computer Society;Informatik;Allgemeine Informatik;computer science;General Information Technology
Journal of the European Optical Society-Rapid Publications;Physik;Optik;physics;optics
Journal of Theoretical and Applied Physics;Physik;Allgemeine Physik;physics;General Physics
Journal of Uncertainty Analysis and Applications;Mathematik;Analysis;mathematics;analysis
Language Testing in Asia;Allgemeine Sprach- und Literaturwissenschaft;Fremdsprachenunterricht;General Linguistics and Literature;language teaching
Large-scale Assessments in Education;Pädagogik;Allgemeine Pädagogik;pedagogy;General pedagogy
Latin American Economic Review;Wirtschaftswissenschaften;Wirtschaftsbericht Mittelamerika;economic sciences;Economic Report Central America
Life Sciences, Society and Policy;Biologie | Medizin;Genetik | Bioethik | Medizinethik;Biology | Medicine;Genetics | Bioethics | Medical Ethics
Maritime Studies;Energie, Umweltschutz, Kerntechnik;Meeresschutz;Energy, environmental protection, nuclear technology;marine conservation
Materials for Renewable and Sustainable Energy;Energie, Umweltschutz, Kerntechnik | Maschinenwesen, Werkstoffwissenschaften;Erneuerbare Energie | Materialwissenschaften;Energy, environmental protection, nuclear engineering | Mechanical engineering, materials science;Renewable Energy | Materials Science
Materials Theory;Maschinenwesen, Werkstoffwissenschaften;;Mechanical Engineering, Materials Science;
Mathematical Sciences;Mathematik;Allgemeine mathematische Zeitschriften;mathematics;General mathematical journals
Maxillofacial Plastic and Reconstructive Surgery;Medizin;Mund-Kiefer-Gesichts-Chirurgie;medicine;Mouth, jaw and face surgery
Micro and Nano Systems Letters;Physik;Nanotechnologie;physics;nanotechnology
Molecular and Cellular Pediatrics;Medizin;Kinderheilkunde;medicine;paediatrics
Multilingual Education;Allgemeine Sprach- und Literaturwissenschaft;Fremdsprachenunterricht;General Linguistics and Literature;language teaching
Nano Convergence;Physik;Nanotechnologie;physics;nanotechnology
Nano-Micro Letters;Physik;Nanotechnologie;physics;nanotechnology
Nanoscale Research Letters;Physik;Nanotechnologie;physics;nanotechnology
Natural Products and Bioprospecting;Chemie und Pharmazie;Naturprodukte;Chemicals and pharmaceuticals;natural products
New Zealand Journal of Forestry Science;Land- und Forstwirtschaft u.a.;Forstwissenschaften;Agricultural and forest meadow;forestry sciences
Pacific Journal of Mathematics for Industry;Mathematik | Wirtschaftswissenschaften;Wirtschaftsmathematik;Mathematics | Economics;business mathematics
Pastoralism;Land- und Forstwirtschaft u.a.;Tierzucht;Agriculture and forestry etc.;livestock breeding
Petroleum Science;Chemie und Pharmazie | Geowissenschaften;Petrochemie;Chemistry and Pharmacy | Geosciences;petrochemistry
Photonic Sensors;Elektrotechnik, Mess- und Regelungstechnik | Physik;Optik;Electrical engineering, measurement and control engineering | Physics;optics
Progress in Biomaterials;Biologie | Medizin | Verfahrenstechnik, Biotechnologie;Biomaterial;Biology | Medicine | Process Engineering, Biotechnology;biomaterial
Progress in Orthodontics;Chemie und Pharmazie | Medizin;Kieferchirurgie;Chemistry and Pharmacy | Medicine;oral surgery
Protection and Control of Modern Power Systems;Energie, Umweltschutz, Kerntechnik;Energietechnik;Energy, environmental protection, nuclear technology;power engineering
Protein & Cell;Biologie;Zellbiologie;biology;cell biology
Psicologia: Reflexão e Crítica;Psychologie;Allgemeine Psychologie;psychology;General Psychology
Psychology of Well-Being;Psychologie;Psychotherapie;psychology;psychotherapy
Renewables: Wind, Water, and Solar;Physik;Erneuerbare Energien;physics;Renewable energies
Research and Practice in Technology Enhanced Learning;Pädagogik;Lernforschung | E-Learning;pedagogy;Learning Research | E-Learning
Research in Number Theory;Mathematik;Theoretische Mathematik;mathematics;Theoretical Mathematics
Research in the Mathematical Sciences;Mathematik;Allgemeine mathematische Zeitschriften;mathematics;General mathematical journals
Rice;Land- und Forstwirtschaft u.a.;Getreideforschung;Agriculture and forestry etc.;cereal research
ROBOMECH Journal;Maschinenwesen, Werkstoffwissenschaften;Automatisierungstechnik;Mechanical Engineering, Materials Science;automation engineering
Robotics and Biomimetics;Maschinenwesen, Werkstoffwissenschaften;Automatisierungstechnik;Mechanical Engineering, Materials Science;automation engineering
Security Informatics;Informatik;Computersicherheit;computer science;computer security
SERIEs;Wirtschaftswissenschaften;Wirtschaftsbericht Spanien;economic sciences;Economical Report Spain
Smart Learning Environments;Energie, Umweltschutz, Kerntechnik | Pädagogik;Umweltbildung;Energy, environmental protection, nuclear engineering | Education;environmental education
Sports Medicine - Open;Medizin | Sport;Sportmedizin;Medicine | Sports;sports medicine
Strategies in Trauma and Limb Reconstruction;Medizin;Psychiatrie;medicine;psychiatry
Surgical Case Reports;Medizin;Chirurgie;medicine;surgery
The Journal of Chinese Sociology;Soziologie;Allgemeine Soziologie;sociology;General Sociology
The Journal of Headache and Pain;Medizin;Palliativmedizin;medicine;palliative care
The Journal of Mathematical Neuroscience;Medizin;Neurologie;medicine;neurology
Triple Helix;Wirtschaftswissenschaften;Innovationstransfer | Gründungsforschung;economic sciences;Innovation transfer | Founding research
Urban Rail Transit;Maschinenwesen, Werkstoffwissenschaften;Maschinenbau;Mechanical Engineering, Materials Science;mechanical engineering
Vietnam Journal of Computer Science;Informatik;Allgemeine Informatik;computer science;General Information Technology
Visualization in Engineering;Architektur, Bauingenieur- und Vermessungswesen | Elektrotechnik, Mess- und Regelungstechnik | Informatik | Maschinenwesen, Werkstoffwissenschaften;Bildverarbeitung;Architecture, Civil Engineering and Surveying | Electrical Engineering, Measurement and Control | Computer Science | Mechanical Engineering, Materials Science;image processing
Advances in Astronomy;Physik;Astronomie;physics;astronomy
Abstract and Applied Analysis;Mathematik;Analysis;mathematics;analysis
Advances in Artificial Intelligence;Informatik;Künstliche Intelligenz;computer science;Artificial Intelligence
Advances in Acoustics and Vibration;Physik;Akustik;physics;acoustics
Advances in Bioinformatics;Biologie | Informatik;Bioinformatik;Biology | Computer Science;bioinformatics
Advances in Civil Engineering;Architektur, Bauingenieur- und Vermessungswesen;Allgemeines Bauingenieurswesen;Architecture, civil engineering and surveying;General civil engineering
Advances in Condensed Matter Physics;Physik;Festkörperphysik;physics;solid state physics
Journal of Applied Mathematics and Decision Sciences;Mathematik;Angewandte Mathematik;mathematics;Applied Mathematics
Advances in Fuzzy Systems;Informatik;Fuzzy-Logic;computer science;fuzzy logic
Advances in Human-Computer Interaction;Informatik | Soziologie;Mensch-Maschine-Kommunikation;Computer Science | Sociology;human-machine communication
Advances in High Energy Physics;Physik;Elementarteilchenphysik;physics;elementary particle physics
Advances in Multimedia;Informatik;Multimedia;computer science;multimedia
Research Letters in Materials Science;Maschinenwesen, Werkstoffwissenschaften;Werkstoffkunde;Mechanical Engineering, Materials Science;materials science
Advances in Materials Science and Engineering;Maschinenwesen, Werkstoffwissenschaften;Maschinenbau allgemein;Mechanical Engineering, Materials Science;Mechanical engineering in general
Advances in OptoElectronics;Elektrotechnik, Mess- und Regelungstechnik;Optoelektronik;Electrical engineering, measurement and control technology;optoelectronics
Advances in Optical Technologies;Physik;Optik;physics;optics
Research Letters in Physical Chemistry;Chemie und Pharmazie;Physikalische Chemie;Chemicals and pharmaceuticals;Physical Chemistry
